Instrument, Reading Date, Comments, Verified,Elevation,Depth to Water
LT_01D,12/31/2014 0:00,,Yes,1972.28,15.72
LT_01D,12/3/2014 0:00,,Yes,1973.08,14.92
LT_01D,11/26/2014 0:00,,Yes,1972.91,15.09
LT_01D,11/19/2014 0:00,,Yes,1972.85,15.15
LT_01D,11/12/2014 0:00,,Yes,1972.95,15.05
LT_01D,11/5/2014 0:00,,Yes,1973.07,14.93
LT_01D,10/29/2014 0:00,,Yes,1973.22,14.78
LT_01D,10/22/2014 0:00,,Yes,1973.39,14.61
LT_01D,10/15/2014 0:00,,Yes,1973.45,14.55
LT_01D,10/8/2014 0:00,,Yes,1973.42,14.58
LT_01D,10/1/2014 0:00,,Yes,1973.46,14.54
LT_01D,9/24/2014 0:00,,Yes,1973.47,14.53
LT_01D,9/17/2014 0:00,,Yes,1973.3,14.7
LT_01D,9/10/2014 0:00,,Yes,1973.2,14.8
LT_01D,9/3/2014 0:00,,Yes,1973.16,14.84
LT_01D,8/27/2014 0:00,,Yes,1973.07,14.93
LT_01D,8/20/2014 0:00,,Yes,1973.01,14.99
LT_01D,8/13/2014 0:00,,Yes,1972.87,15.13
LT_01D,8/6/2014 0:00,,Yes,1972.61,15.39
LT_01D,7/30/2014 0:00,,Yes,1972.55,15.45
LT_01D,7/23/2014 0:00,,Yes,1972.47,15.53
LT_01D,7/16/2014 0:00,,Yes,1972.28,15.72
LT_01D,7/9/2014 0:00,,Yes,1972.13,15.87
LT_01D,7/2/2014 0:00,,Yes,1971.98,16.02
LT_01D,6/25/2014 0:00,,Yes,1971.75,16.25
LT_01D,6/18/2014 0:00,,Yes,1971.65,16.35
LT_01D,6/11/2014 0:00,,Yes,1971.15,16.85
LT_01D,6/4/2014 0:00,,Yes,1970.89,17.11
LT_01D,5/28/2014 0:00,,Yes,1970.63,17.37
LT_01D,5/21/2014 0:00,,Yes,1970.51,17.49
LT_01D,5/14/2014 0:00,,Yes,1970.69,17.31
LT_01D,5/7/2014 0:00,,Yes,1970.67,17.33
LT_01D,4/30/2014 0:00,,Yes,1970.79,17.21
LT_01D,4/23/2014 0:00,,Yes,1971.01,16.99
LT_01D,4/16/2014 0:00,,Yes,1971.01,16.99
LT_01D,4/9/2014 0:00,,Yes,1971.51,16.49
LT_01D,4/2/2014 0:00,,Yes,1972.02,15.98
LT_01D,3/26/2014 0:00,,Yes,1971.88,16.12
LT_01D,3/19/2014 0:00,,Yes,1970.8,17.2
LT_01D,3/12/2014 0:00,,Yes,1972.71,15.29
LT_01D,3/5/2014 0:00,,Yes,1972.84,15.16
LT_01D,2/26/2014 0:00,,Yes,1973.06,14.94
LT_01D,2/19/2014 0:00,,Yes,1973.46,14.54
LT_01D,2/12/2014 0:00,,Yes,1973.28,14.72
LT_01D,2/5/2014 0:00,,Yes,1973.23,14.77
LT_01D,1/29/2014 0:00,,Yes,1973.03,14.97
LT_01D,1/22/2014 0:00,,Yes,1972.99,15.01
LT_01D,1/15/2014 0:00,,Yes,1973.12,14.88
LT_01D,1/8/2014 0:00,,Yes,1972.97,15.03
LT_01D,1/2/2014 0:00,,Yes,1972.87,15.13
